vin,sellingprice
1g6dp567450124779,3421.25
1gtw7fca7e1902207,22675.0
jn8az1mw6dw303497,19207.5
2g1wf5e34d1160703,9082.5
1n6aa0ec3dn301209,20316.25
wvwvd63b93e175638,2416.25
5npeb4ac4dh809686,12612.5
1fm5k7b97dgb16454,14958.75
jn1cv6ar5bm411441,17723.75
3gnfc16j77g158033,9227.5
2g1wb5e30d1140332,13447.5
jf2sjadc1fh417932,23505.0
1fmcu0f75eue15137,12160.0
jn8az18w29w128991,12920.0
3fadp4ejxcm158293,6485.0
1fahp2e96dg230937,14476.25
knaft4a24b5326931,7492.5
wbaeb5c57ac225968,34427.5
1gndt13sx62216518,5922.5
3gcukrec4eg454516,27726.25
kmhgc4ddxcu168540,17110.0
2gnfleek4c6221421,13311.25
3gnda23d06s523147,4895.0
ja32u1fu0du008397,9860.0
1fbne3bl1eda46070,19770.0
2b8gp54l01r117477,816.25
1fadp3f28el323070,12137.5
1g3nl52f32c104253,1061.25
yv4992dz6a2034805,15428.75
1gmdv33l15d274975,2717.5
3fahp0ha5cr314457,10590.0
kndjp3a5xe7072298,13927.5
jh4cu2f49cc003441,18355.0
1g2zm177284122405,6207.5
1hgcp2f38ba122870,12667.5
1n4aa5ap0bc847988,16725.0
jt2bf28kx10337262,3851.25
2gtek13v961325160,9347.5
1n4aa5ap7ac811245,14575.0
1fadp3k25el151313,11817.5
4t1bf1fk9eu774829,15003.75
waugfafc2en098654,37171.25
3fa6p0hr2dr238002,12096.25
3fahp0ja5cr276738,9253.75
2g1fa1e30d9157807,15106.25
2t3bfrev4dw038526,17452.5
5yfbu4ee8dp189095,11737.5
yv1sz59h741164165,4845.0
1hgcr2f84da020569,18463.75
1c4njcba3fd124498,14480.0
1n4aa51e09c834554,9417.5
1fmfu17525la35873,6230.0
3vw2k7aj6dm209150,9502.5
5j6rm3h7xdl004568,20667.5
waufgafb8an026867,18032.5
3fahp0ha0cr307061,12100.0
1lnhm87a82y644589,1287.5
2hkrl18022h576543,1655.0
2t1burhe2ec210372,16400.0
nm0ge9f77e1151554,20672.5
5xxgr4a66dg133932,19100.0
5j6re48348l033196,8775.0
1gnlvfed5aj252374,13323.75
1ftfw1e69dfd71401,33731.25
kmhdh4ae8du795370,8877.5
1n4al2ap3cn408119,13127.5
waugn74f37n041255,15675.0
5xykt3a63eg479116,16225.0
4t1bf3ek2au532729,9126.25
knafx4a62e5225883,11625.0
jnkcv51e63m329092,4360.0
